Location,Time,Female,Male,threshold,under.t,total,under.65,prop.over.65,prop.over.t
Algeria,1953,58.4838809896472,57.13844458561206,57.79675463115638,8846.317734732433,9405.443,9115.105,0.03086914672706004,0.05944698886246684
Algeria,1954,58.579549726774516,57.210254423581965,57.884117608143406,9041.417757009778,9609.505,9316.01,0.03054215591750033,0.05911722227005669
Algeria,1955,58.678838579818546,57.28673251025659,57.97562026038261,9247.730211937987,9829.719,9533.762,0.03010838865281892,0.059207062588667266
Algeria,1956,58.78126578277013,57.36722124269309,58.07069516669148,9466.920756264808,10065.822,9764.73,0.02991231118531607,0.05949849339032541
Algeria,1957,58.8863495696201,57.4510630179486,58.16877490588749,9696.159593257727,10316.288,10010.436,0.02964748560722624,0.060111583424413216
Algeria,1958,58.99360817435932,57.53760023308025,58.26929205678811,9937.469504970113,10578.449,10269.327,0.02922186418821901,0.06059295602123595
Algeria,1959,59.102579748686786,57.62617820129621,58.371704601648645,10191.14533374757,10848.973,10536.984,0.028757468564075104,0.060635017365462104
Algeria,1960,59.212882115134114,57.71615390040883,58.47557213647563,10454.676695670218,11124.888,10808.112,0.02847453385598144,0.060244319253351865
Algeria,1961,59.324153013941086,57.80688722438147,58.58047966071342,10722.110769605886,11404.859,11073.808,0.029027189200673105,0.059864679641731144
Algeria,1962,59.4360301853475,57.897738067177514,58.68601217380639,10999.553817261012,11690.153,11342.969,0.029698841409518003,0.059075290352400694
Algeria,1963,59.548151369593114,57.98806632276033,58.79175467519889,11288.205484211328,11985.136,11619.435,0.03051287861898279,0.05814957091756589
Algeria,1964,59.66005471837695,58.077217304338106,58.897165147146204,11590.411816316808,12295.97,11910.766,0.031327662640686316,0.05738125448282581
Algeria,1965,59.77088002923486,58.16447800209821,59.001193503147356,11908.841562093765,12626.952,12223.891,0.03192068838148745,0.05687124160337621
Algeria,1966,59.879667511161955,58.249120825472815,59.1026626395123,12249.473879994743,12980.267,12561.1,0.03229263311763922,0.056300314932293545
Algeria,1967,59.98545737315331,58.330418183894125,59.200395452551,12606.887667603742,13354.197,12921.713,0.03238562378554101,0.05596063412845104
Algeria,1968,60.087289824204014,58.407642486794295,59.293214838573384,12978.400720799806,13744.387,13301.625,0.0322140230772024,0.05573084337629572
Algeria,1969,60.18469341374198,58.480687127361875,59.380645224143045,13360.702078561304,14144.438,13693.297,0.031895293400840644,0.05540947766455592
Algeria,1970,60.27915005292638,58.55192943381084,59.46501715683807,13751.733716172605,14550.034,14090.204,0.03160336257633487,0.05486587067957333
Algeria,1971,60.372629993349214,58.62436771811151,59.54936271449017,14147.067984649257,14960.109,14484.603000000001,0.03178492883975641,0.05434726547451918
Algeria,1972,60.46710348660247,58.70100029223423,59.63671397493106,14552.521824763026,15377.093,14885.218,0.0319875154556196,0.053623345793445826
Algeria,1973,60.564540784278144,58.78482546814931,59.730103015992455,14970.936388386324,15804.428,15295.173999999999,0.03222223543933389,0.052737853696044903
Algeria,1974,60.668310153967944,58.87932176571202,59.83331581582162,15405.582995210423,16247.113,15720.421,0.032417574740816975,0.05179566393054423
Algeria,1975,60.787371927262406,58.989888536317345,59.95315395382805,15859.347533504952,16709.099,16166.544,0.032470631719879,0.05085561265122954
Algeria,1976,60.93208445175179,59.12240533924519,60.097172909736784,16333.445596519488,17190.239,16631.634,0.03249547606638879,0.04984185522263611
Algeria,1977,61.112806075026356,59.28275173377547,60.27292816327288,16827.309651241565,17690.184,17117.956,0.0323472045287942,0.04877701378111364
Algeria,1978,61.339895144676355,59.47680727918809,60.48797519416137,17344.691770731155,18212.326,17628.689,0.03204626361289615,0.04763994611500178
Algeria,1979,61.618737273652144,59.70759372950053,60.74609808503483,17890.42511464417,18760.761,18166.74,0.03166294800088318,0.04639128899706294
Algeria,1980,61.9348271363445,59.966701617680606,61.03599533015586,18466.814417471156,19337.715,18732.687,0.0312874607987551,0.04503637490411065
Algeria,1981,62.268686672504316,60.242863671433675,61.342594026694606,19072.3229190959,19943.664,19321.662,0.031187950218174575,0.043690120376280984
Algeria,1982,62.600837821882465,60.52481261846512,61.65082127182119,19704.848259665683,20575.701,19935.424,0.03111811354568196,0.04232432908770971
Algeria,1983,62.911802524229834,60.80128118648031,61.94560416270574,20358.124376054093,21228.289,20568.341,0.03108813903937337,0.04099080354266459
Algeria,1984,63.18522503079646,61.06134687440508,62.21348993535386,21023.670645543087,21893.853,21214.113,0.03104707060927092,0.03974551005055677
